,index,name,rate
54,5,c8ier1 from New Braunfels,4.0
55,5,renofoodie from Reno NV,5.0
56,5,Mneoctober from DC,2.0
57,5,Mneoctober from DC,3.0
58,5,Akimbo from VVViV,3.0
59,5,elwood from Kansas City,5.0
60,5,a_putterer from MA,5.0
61,5,gdberkley,2.0
62,5,grammyles from Vancouver,4.0
63,5,charlottebell from Austin,5.0
64,5,anyccook,4.0
65,5,blondoverblue from Sacramento,4.0
66,5,blondoverblue from Sacramento,4.0
67,5,blondoverblue from Sacramento,4.0
68,5,angiedavid from Los Angeles,5.0
69,5,cjdrisc from Jacksonville FL,4.0
70,5,nancydea from Melbourne,5.0
71,5,Vicki6 from Washington,5.0
72,5,marilynburrows from Laguna Niguel,4.0
73,6,lfox18 from Ballston Lake,5.0
74,6,hairbrain from Montrose,5.0
75,6,lschmidt from Portland,3.0
76,6,tgbcooks,4.0
77,6,graceross from OtaOttawa,5.0
78,6,dmatale from New York,5.0
79,6,mariemichellevu from Vietnam,3.0
80,6,sgkritz from California,4.0
81,6,lissa_b from Norfolk,2.0
82,6,thar from San Francisco,5.0
83,6,jeneric1507 from NJ,5.0
84,6,stu210 from Denver,5.0
85,6,cindyboyett from Goochland,5.0
86,6,mksweh from Rye,5.0
87,6,polkadotbats from Cincinnati,1.0
88,6,anitamarcoff from Oregon,5.0
89,6,spud17 from Lexington,1.0
90,6,Ambrozia911 from Dallas,1.0
91,6,schatzca from Boston,1.0
92,6,Lynnied from Portola Valley,5.0
93,6,julieacook from Ontario,5.0
95,8,perryUMD,4.0
96,8,cairna from Portland ME,1.0
97,8,wilthree from FLA,5.0
98,8,A Cook from Monterey Hills,2.0
99,8,HilaryAgin,4.0
100,8,lesliemari from Ottawa,4.0
101,8,rcallner from Olympia,5.0
102,8,A Cook from NJ,1.0
103,8,bobiw from Livermore,1.0
104,9,alisonharrod1410 from Canada,5.0
105,9,marylainel from Montreal,5.0
106,9,cosoriog from On,5.0
107,10,smallbluebird from SF Bay Area,5.0
108,10,enpeco2 from New Orleans,5.0
109,10,smiles1940 from Alexandria,5.0
110,10,jcarlile from Truckee,5.0
111,10,jfkatz from Pretoria,5.0
112,10,augustin from Seattle WA,2.0
113,10,beachcats from Santa Monica,5.0
114,10,judyldaniel from San Francisco,5.0
115,10,foodiemmk from Greensboro,4.0
116,11,Anna D from San Diego,4.0
117,11,alenarz from Minneapolis,5.0
118,11,dallasnash from Botswana,2.0
119,11,bas614 from Boston,4.0
120,11,kerryduffie from Denver,5.0
121,11,Kimpro101 from Texas,5.0
122,11,deannaip from Austin,5.0
123,11,bearmayor,5.0
124,11,lglevin from San Diego,5.0
125,11,kelik0991 from Denver,5.0
126,11,straker from Atlanta,5.0
127,11,tgbcooks from FFarF,4.0
128,11,shellhahn from Bloomington,5.0
129,11,blauj from Sask,5.0
130,11,magdalen20 from San Diego VCCA,4.0
131,11,sjhergenrader from Zurich,5.0
132,11,JMurov from Pleasant Hill,5.0
133,11,pattidd from Boston MA,5.0
134,11,lora_lu from Denver,4.0
135,11,tbell023 from San Diego,5.0
136,11,rlykins from Sydney,4.0
137,12,themarten from Salt Lake City,2.0
138,12,krf from Bellevue,5.0
139,13,zoeycooks from Boston,4.0
140,13,enietupski57021 from Boston,5.0
141,13,wigdowt from Asheville,5.0
142,13,malinsky from Calgary,4.0
143,13,kklabracke from Oconomowoc,5.0
144,13,GreenJourney from Chicago,5.0
145,13,mmmbaker from Colorado,4.0
146,13,laura_b_mv from Mountain View,5.0
147,14,jansan1 from Orange County,4.0
148,14,jsacco from Boston,5.0
149,14,lornakb from Monterey,5.0
150,14,Bestdogsmom from Chicago,4.0
151,14,Lrosas from Walnut,5.0
152,14,cavygirl1 from Connecticut,5.0
153,14,funpuff from DC,1.0
154,14,markheimann from palm beach,5.0
155,14,sawrey from gearhart,5.0
156,14,pamthecook from dallas,4.0
157,14,aquamerine from Ny,5.0
158,14,John from fort worth,4.0
159,14,mashabedda from SD,4.0
160,14,A Cook from Chicago,4.0
161,14,cheesepuff,4.0
162,14,wornoutballetshoes,5.0
163,14,denstob,4.0
164,14,heathersb9 from Washington DC,5.0
165,14,A Cook from New York,4.0
166,14,mpcbear from Southern NJ,5.0
167,14,A Cook from Minneapolis,5.0
168,15,the connasewer from Hilo HI,4.0
169,15,zuker from Hot Springs Village,5.0
170,15,foodlover1948 from Brisbane,2.0
171,15,gfsi from Vancouver,5.0
172,16,Sharonh,5.0
173,16,jerirecipes from TX,5.0
174,16,ekmitchell2 from Long Beach,5.0
175,16,tuva,5.0
176,16,bobsmanor from Los Altos,5.0
177,16,aguzada505 from El Paso,5.0
178,16,mlamo from Squamish,5.0
179,16,asnmklgirl7935 from Portland,5.0
180,16,heathernyc,5.0
181,16,leek from Seattle,3.0
182,16,cook from mesa from Mesa,5.0
183,16,gwynnek from DC,5.0
184,17,flagg,5.0
185,17,delaniepope from Grand Rapids,5.0
186,17,bikap,5.0
187,17,blwyxx4163 from Salt Lake City,5.0
188,17,blwyxx4163 from Durango,5.0
189,17,scrooge_fan from Machesney Park,5.0
190,17,charface from Portland,5.0
191,17,kmender1 from NY,5.0
192,17,ginapos from Philly,5.0
193,17,kjbbmommy from Attleboro,5.0
194,17,delaniepope from Michigan,5.0
195,17,beachcats from Santa Monica,3.0
196,17,catdellinger from North Danville,5.0
197,17,jenpost1556 from Stoughton,5.0
198,17,lkaaha from San Jose,5.0
199,17,rachtherose from Los Angeles,5.0
200,17,dsarosik1 from Lake Tahoe,5.0
201,17,dawntreader3731425 from Los Angeles,4.0
202,17,jerirecipes from North Myrtle Beach,5.0
203,17,asholady from New Orleans,5.0
204,17,gringaroja from Boston,5.0
205,18,ksakuma from Oakland,5.0
206,18,abbypuppy1 from Redington Beach,5.0
207,18,jawmems from New Jersey,3.0
208,18,Glassman6  from Akron,5.0
209,18,tracych from Clearwater,5.0
210,18,jameswilber,4.0
211,18,maxtimm from Chicago,5.0
212,18,pearldiver from Seattle,5.0
213,18,Jeanne2020 from Turnersville,5.0
214,18,sharonburkhar from Marietta,5.0
215,18,amarris_sky from Connecticut,5.0
216,19,barefootmelanie  from Atlanta,5.0
217,19,kdante from Chicago,5.0
218,19,jbbobbitt,1.0
219,19,sbnelson from kansas city,2.0
220,19,lizb22 from Watertown,5.0
221,19,Assos from Louisville,5.0
222,19,Great_Lakes_Cook from Portland,5.0
223,19,Lexy1 from México,1.0
224,19,pwrubarb from Napa Valley,2.0
225,19,Lydia122,5.0
226,19,Munacil from Shorewood,4.0
227,19,kritzow from Appleton,5.0
228,19,KSSir from Storrs,1.0
229,19,dnals from palo alto,5.0
230,19,vicki_s from boston,5.0
231,19,A Cook from Waco,5.0
232,20,robboo from Syr ny,4.0
233,20,bellabug,4.0
234,20,moorloughmary from Edmonton,4.0
235,20,yvoloshin from Brooklyn,5.0
236,20,rnicolls from Calgary,4.0
237,20,morganmk from Augusta,5.0
238,20,christinesuchor7153 from Boulder,2.0
239,20,mvjimo from Vineyard Haven,4.0
240,20,treeapril2014 from the earth,2.0
241,20,lovestoputter,4.0
242,20,jc1920ra from Green Valley,3.0
243,21,janmurray from Orlando,5.0
244,21,RWeaver59 from Boston,4.0
245,21,kizzybelle from Ontario,5.0
246,21,Primanna from Buffalo,5.0
247,21,svensvnset,2.0
248,21,Fotaku,4.0
249,21,sakillets from texas,4.0
250,21,loriltx from Houston,5.0
251,21,tmanton from NJ,3.0
252,22,ir_fou from San Diego,5.0
253,22,phoghat from Mexico,3.0
254,22,lizzytish2,1.0
255,22,veggietress from Longbeach California,5.0
256,22,A Cook from Germany,1.0
257,23,juliefrawle,5.0
258,23,jdaisymia,5.0
259,23,ncm209,2.0
260,24,cheching from Toronto,2.0
261,24,jjansen from Babauni BC,2.0
262,24,joseegunville from Ottawa,5.0
263,24,stellab7 from Denver,5.0
264,24,kboston from Boston,5.0
265,24,kboston from Boston,5.0
266,24,lmanderson from Maryland,4.0
267,24,inesbaum,4.0
268,24,A Cook from Seattle,4.0
269,24,Cook_in_the_Ham,3.0
270,24,Prncsgbug from Seattle,3.0
271,24,neiljg from Maine,4.0
272,24,rimbaud from San Francisco,5.0
273,24,epi_test_165,4.0
274,24,foodpilot56 from Houston,1.0
275,24,nml211 from Portland,5.0
276,24,cdibella from Toronto,4.0
277,24,Mascoma,1.0
278,24,accmplce from Oshawa,1.0
279,24,cdelouise from Bethany,5.0
280,24,jrdhassell from Washington,4.0
281,25,francoiscat from Seattle,5.0
282,25,elroyjetson from San Francisco,5.0
283,25,meliherman from Berlin,4.0
284,25,blondoverblue from Sacramento,2.0
285,25,jdaisymia from Az,5.0
286,25,kids2cuisine from Winnipeg,2.0
287,25,terrijudge from Washington,5.0
288,26,laurenhabiba from expat,5.0
289,26,vtgrammy from killington,4.0
290,26,cjadewi from Boston,5.0
291,26,marciaznelson from Chicago area,5.0
292,26,viking_kitten from Boston area,4.0
293,26,jraderj from NYC,5.0
294,26,jraderj from NYC,5.0
295,26,Ellie_B from Brookline,4.0
296,26,lulabell67 from Rochester,3.0
297,26,jeanburton2 from Albany,5.0
298,27,sgawith1 from Johannesburg,5.0
299,27,lei739 from Nor Cal,5.0
300,27,janekathryn from San Francisco,5.0
301,27,layla1008 from Brick NJ,4.0
302,27,MeCookFood from Blacksburg,5.0
303,27,cookbooker from Boston,5.0
304,27,robyn386 from Austin,5.0
305,28,kgerwin from Brooklyn,5.0
306,28,firesprite from Oakland,4.0
307,28,michael211 from Boston,5.0
308,28,jeneaby from Alpharetta,5.0
309,28,lisa_anna from New York,5.0
310,28,hautehouseicloudcom from Paris France,5.0
311,28,kayeshari,5.0
312,28,theresa54 from San francisco,5.0
313,28,rvj711 from NoVA Northern VA from Manila,4.0
314,28,lisadorenwendt from Wilmette,5.0
315,28,lrn7 from Toronto,5.0
316,29,yam_yam from San Francisco,3.0
317,29,hikeybikey from Scottsdale,5.0
318,29,jenpost1556 from Stoughton wi,5.0
319,29,kellyn301 from Washington,5.0
320,29,sbdelisle,5.0
321,29,jessicaangellsmith from Yarmouth,5.0
322,30,lisakat from Austin,5.0
323,30,ithrowitontheground from San Francisco,4.0
324,30,megelise from Dallas,5.0
326,32,enpeco2 from New Orleans,5.0
327,32,clararaa from Colorado,5.0
328,32,calistam from Seattle,5.0
329,32,benedetto from NYC,5.0
330,32,brushjl from solon,5.0
331,32,savorygoodness from Cartersville USA,5.0
332,32,jellis14 from Arlington,5.0
333,32,lschmidt from Portland,4.0
334,32,mostlymeg,5.0
335,32,johnclementwats from Middletown,5.0
336,32,scunningham from White plains ny,5.0
337,32,sarahnicole529 from Austin,5.0
338,32,ginaliening from seattle,2.0
339,32,jansan1,3.0
340,32,sbpoll from Houston,5.0
341,32,tamlrose from Michigan,5.0
342,32,ehauber from Taos NM,5.0
343,32,sbpoll from Houston,5.0
344,32,blondoverblue from Sacramento,5.0
345,32,rsnoda from San Francisco Bay Area,5.0
346,32,kerryl_530 from Random Lake,5.0
347,33,kwkennedy from Denver,3.0
348,33,wheedle from Manhattan,5.0
349,33,amymg97 from Sparks,4.0
350,33,shayneelizabeth from Auburn Ca,5.0
351,33,boydjr1 from Ann Arbor,5.0
352,33,sunnylildaffodil from Colorado Springs,5.0
353,33,anouschkawardy,5.0
354,33,sminkoff,5.0
355,33,jl1 from San Francisco,4.0
356,33,amylh from New Hampshire,5.0
357,33,susiesunshine from Fairbanks,5.0
358,33,jacquie7 from Carlsbad,5.0
359,33,brireb1 from Wayne,5.0
360,33,CZimons from Clarksville,5.0
361,33,wendycatherine from Houston,5.0
362,33,shale3 from Wilsonville,5.0
363,33,rich_conley from Boston,5.0
364,33,cookie44 from Northern Virginia,3.0
365,33,carrphillips from Lake Oswego,5.0
366,33,mlmerlotti from St Louis,5.0
367,33,slhughes2 from Santa Barbara,4.0
369,35,iambenjago from Washington,3.0
370,35,ellen23 from Long Island,5.0
371,35,demarcate from Brooklyn,5.0
372,35,kathiet from Cincinnati,5.0
373,35,hp,1.0
374,35,sullivan0830 from Philadelphia,1.0
375,35,srtracey from Los Angeles,5.0
376,35,kimlef from Ga,1.0
377,35,knitbeast from new york city,1.0
378,35,janetvassar from Los Altos,1.0
379,35,katherine_poythre from Medford,5.0
380,35,ka5 from Medford,5.0
381,35,kpsoundadvice,1.0
383,37,wannabecook79,4.0
384,38,websherpaca8425 from Burlington,5.0
385,38,PowPow from BC Canada,5.0
386,38,PowPow from BC Canada,5.0
387,39,katjonesstudio3370 from Vallejo,5.0
389,41,susanmw from Baltimore,2.0
390,41,jenpost1556 from Stoughton,5.0
391,41,tukats from Santa Barbara,5.0
392,41,tukats from Santa Barbara,5.0
393,41,Ama1 from texas,4.0
394,41,lwmjky from San Francisco,5.0
395,41,lchei from Cincinnati,5.0
396,41,austin1712 from Bay Area,5.0
397,41,lincolnpines from Tampa,5.0
398,41,happycamper223 from Portland,4.0
399,41,Johnmdjr from Phoenix,3.0
400,41,osterstock from Ladera Ranch,5.0
401,41,1mustang from Costa Mesa,4.0
402,41,steveack from Saratoga Springs,5.0
403,41,robboo from Ny,5.0
404,41,ellen80 from Point Roberts,5.0
405,41,mamabaer from Pittsburgh,5.0
406,41,pahastings from Charlottesville,2.0
407,41,pcbkatt from Panama City beach,3.0
408,41,lmckee from Washington,2.0
409,42,anromans from Providence,5.0
410,42,yoshihaga22 from Laguna Beach,5.0
411,42,cuisincuisine from St Paul MN,5.0
412,42,jams3 from  Northern New Jersey,4.0
413,42,tjolish from San Francisco,5.0
414,42,christine4196,5.0
415,42,compostra from Northern California,5.0
416,42,spfychik84 from Groton,5.0
417,42,laurenh19 from Tacoma,5.0
418,42,bugthecat from Ottawa,5.0
419,42,mmicale from Brooklyn,4.0
420,42,bustersqueak from Calgary,5.0
421,42,pghgrl from brooklyn,5.0
422,42,greenjourney from Chicago,5.0
423,42,richard_frizell from Gabriola,5.0
424,42,elschneider from Nashville,5.0
425,42,portlanderic from Portland,5.0
426,42,kimberleyt from Victoria,5.0
427,42,coudremode from Boston,5.0
428,42,leighcbatten2216 from Texas,4.0
429,42,mbpalladino4458 from Rockport,5.0
430,43,gsam26 from Bama,5.0
431,43,shortr from Goshen IN,4.0
432,43,jmurov,5.0
433,43,elliot1,4.0
434,43,trackertart from Qualicum Beach,5.0
435,44,whatswrong9 from Los Angeles,5.0
436,44,janekathryn from San Francisco,5.0
437,44,DLindner from San Clemente,5.0
438,44,marisa_menz from Cresskill,5.0
439,44,kmoss50 from Charleston,5.0
440,44,hannahmattina from MI,1.0
441,44,dwhite417 from Seattle,5.0
442,44,anne1234 from Portland,1.0
443,44,CarolVach from Burlington,5.0
444,44,mwaaka from Zambia,1.0
445,45,yoshihaga22 from Laguna Beach,5.0
446,45,slhughes2 from Santa Barbara,5.0
447,45,lblasdel from Boise,5.0
448,45,jmmee,5.0
449,45,dcturchin from Toronto,5.0
450,45,joseegunville from Ottawa,5.0
451,45,chloethepoodle from Los Angeles,5.0
452,45,jenacass from Dallas,5.0
453,45,nick_wahl1 from Minneapolis,5.0
454,45,caponte from Chicago,5.0
455,45,caponte from Chicago,5.0
456,45,janekathryn from San Francisco,5.0
457,45,bcaldwell441 from Seattle,5.0
458,45,scunningham from White plains,4.0
459,45,dreb from San Francisco,5.0
460,45,feedmysoul from Toronto,5.0
461,46,sylviazunda from Northport,5.0
462,46,lkrummrich1 from Belleville Il,5.0
463,46,wandavb,2.0
464,46,Horusbedhetys from San Diego,5.0
465,46,A Cook from Phoenix,1.0
466,46,A Cook from Denver,4.0
467,47,tomese from Louisville,4.0
468,47,thebards from Palo Alto,3.0
469,47,pymv from New Jersey,5.0
470,47,vstar from Bellingham,5.0
471,47,pfrank from New York,5.0
472,47,elberko from PA,5.0
473,47,scalardt from Kansas City,5.0
474,47,graceross from Ottawa,4.0
475,48,potterzino from Saugatuck,5.0
476,48,casper1 from Chicago,5.0
477,48,eworldcooking from India,5.0
478,48,diagonza from Mexico City,5.0
479,48,LizGy from London,5.0
480,48,delooper from Durham,5.0
481,48,carolbb from Highland Park,5.0
482,48,ksakuma from Oakland,5.0
483,48,taylorjay from New York,4.0
484,48,mattx33 from Boise  ID,5.0
485,48,eli6223 from Minneapolis,5.0
486,48,ronasjc8500 from Pawtucket,5.0
487,48,LiamGriffith from Colorado Springs,5.0
488,48,itam from Colorado,5.0
489,48,tejaspenguin from San Antonio,4.0
490,48,ameliajayne from Ann arbor,5.0
491,48,vae9106 from TucsTTon,3.0
492,48,xineqoc from Seattle,5.0
493,48,hannahmattina from michigan,5.0
494,48,stoerme from Dayton,3.0
495,48,ilona1 from Holon,5.0
496,49,azzief1 from Los Angeles,2.0
497,49,ilyssa2 from NYC,2.0
498,49,CatHoward from YORKSHIRE UK,5.0
499,49,doreenz from Sooke BC,4.0
500,49,nichomachean from Dallas,5.0
501,49,hurricanejl from Miami Beach,5.0
502,49,hashiparmentier from PORTLAND OREGON,5.0
503,49,Adpg74 from San Ramon,5.0
504,49,magdalen20 from San Diego CA,5.0
505,49,onestitch from Falls Church,3.0
506,49,alorenstei from Somerville,5.0
507,49,sylkken from Canada,5.0
508,49,marissavivo,5.0
509,49,BDCJK4 from Cambridge,5.0
510,49,creativecooker from NY,2.0
511,49,tnbks from torontotoToronto catoro,4.0
512,49,stephaniezenobia from Denver,3.0
513,49,mahu6 from Maine,5.0
514,49,lindakessler from Florida,5.0
515,49,azzief1,2.0
516,49,ljg4 from NYC,2.0
517,50,derekjbe from Toronto,5.0
518,50,samanteria,5.0
519,51,clairehassid from Forest Hills,5.0
520,51,jsto from Toronto,4.0
521,51,erika827,5.0
522,51,bunnyb1970 from Montreal,5.0
523,51,Jerryv from Chicago IL,4.0
524,51,karditi from NY,5.0
525,51,sjsymonds from Herndon,4.0
526,51,Joanzehenderson  from Santa Fe NM,5.0
527,51,jackhb from Baltimore,5.0
528,51,kariejohn from San Diego,4.0
529,51,Makbholloway from Baltimore,2.0
530,51,alsado9988 from Federal Way Wa,4.0
531,51,nevarchef from Austin,2.0
532,51,kenpimentel3 from rockville,5.0
533,51,rieweeg from Sacramento,4.0
534,51,cameron_hold from Springfield,4.0
535,51,lovestoputter,3.0
536,51,lchasson from Milan,5.0
537,51,ash74 from Beirut,3.0
538,51,smokeoutque from Richmond,4.0
539,51,vgheebee from San Diego,2.0
540,52,KMD_Chicago from Chicago,5.0
541,52,human1,5.0
542,52,lisathe2boysmom from jenkintown pa,5.0
543,52,newyorknewyork75 from NYC,5.0
544,52,ivanier from auckland,5.0
545,52,mbeachl from Cathedral City,5.0
546,52,ivanier from auckland,5.0
547,53,a_c_stockwe,5.0
548,53,thaitrav2233 from MA,3.0
549,53,hmbaldwin,2.0
550,53,scarlett9 from Newnham UK,5.0
551,53,michelleb1209 from NJ,3.0
552,53,sjminkoff from Richmond,3.0
553,53,smiles1s940 from Alexandria,4.0
554,54,denisecasto4609 from Reston,5.0
555,54,rogerw05465 from Culpeper,2.0
556,54,meximoe from Bayville NJ,5.0
557,54,elliottb8198104 from Philadelphia,5.0
558,54,judylane1 from Virginia,5.0
559,54,rockchick from Poughkeepsie,5.0
560,54,juche6 from NYC,2.0
561,54,shannon11red from Levittown PA,5.0
562,54,piarmg from Mississauga,5.0
563,54,jeanne_whyn from Somerville,5.0
564,54,arl8058 from Philadelphia,5.0
565,54,donna_levy from Buffalo,5.0
566,54,catsuite from Brooklyn,5.0
567,54,gtargoff from Lincoln,5.0
568,54,repat91 from CA,4.0
569,54,nowwerecookingmary from New Haven,5.0
570,54,alisonhartlbx from Albany,5.0
571,54,martinis2nite from St Petersburg,4.0
573,56,suzglass from Birmingham,5.0
574,56,plgraham from southern ontario,5.0
575,56,eandcinthekitchen,5.0
576,56,LizaOlson91 from Los Angeles,5.0
577,56,cincisusan from Cincinnati,5.0
578,56,trirod01 from Toledo,5.0
579,56,SusanChicago from Lakeside,5.0
580,56,jroberts1957 from Sequim,4.0
581,56,kararabago,4.0
582,56,mika53 from CauxetSauzens France,2.0
583,57,moneyles from boston,5.0
584,57,cannmelanie9423,5.0
585,57,sjyung from Greenwich,5.0
586,57,LPiesel from Falls Church,5.0
587,58,questrist,3.0
588,58,michaelwryan19573965 from Provo,5.0
589,58,bennette from Waretown,5.0
590,58,ophy,5.0
591,58,Sue99 from Ottawa,5.0
592,58,kbidstrup from San Francisco,4.0
593,58,A Cook from LA,5.0
594,58,katiehogan from Binghamton,5.0
595,58,Yelowbunnie from Chicago,5.0
596,58,akalish from New York,1.0
597,58,ontanedamarisol from Washington,1.0
598,58,lexschmidt from philadelphia,1.0
599,59,jlp879 from SF,5.0
600,59,Shirleywong814 from New York,4.0
601,59,jaloc,5.0
602,59,karenfar from Huntington Beach,5.0
603,59,winewiz from mt prospect,3.0
604,59,waitz from Chicago,5.0
605,59,cggerard from Salt SSalt,4.0
606,59,dbpearl from Long Beach,5.0
607,59,gmga from Chicago,5.0
608,60,greengirlkb,2.0
609,60,ltmsix from Allentown,5.0
610,60,lesliebmore from Baltimore,5.0
611,60,allchy from Toronto,5.0
612,60,jenfridley from Saint Louis,5.0
613,60,lschmidt from Portland,4.0
614,60,A Cook,1.0
615,60,lderemita from Mount Lebanon PA,5.0
616,60,zellycat from Brooklyn,1.0
617,60,ditto from Portland Oregon,5.0
618,60,A Cook from Portland Oregon,5.0
619,60,shrushanti from Eagan,3.0
620,60,tracypie5 from San Francisco,3.0
621,60,A Cook from Agoura Hills,4.0
622,60,simmle from Birmingham,4.0
623,60,CookEm from Boston,1.0
624,60,dds1981 from Washington,1.0
625,60,Abears2010 from Destin,3.0
626,60,toodles107 from Phoenix,2.0
627,60,tastygoodies from new orleans,4.0
628,60,redsesame,5.0
629,61,kathrynamyconn from Northern NY,2.0
630,61,bretonne from France,5.0
631,61,jceverett from Arlington,5.0
632,61,jchristiansumn from Brooklyn,5.0
633,61,dlg6187 from Lancaster PA,5.0
634,61,Vegginin from Sweden,5.0
635,61,lecknox from San Francisco Bay Area,5.0
636,61,cookbooker from San Francisco,5.0
638,63,mbolster from Concord,5.0
639,63,pipercooks from Longmont,5.0
640,63,kncookspnw from Seattle,5.0
641,63,denni31 from San Diego,5.0
642,63,maggieeates,5.0
643,63,jeanmcramer from chicago,5.0
644,64,dejda from Miami,5.0
645,64,JackyP,5.0
646,64,yenta from 11354,4.0
647,64,sitagaki,3.0
648,64,grazianolinda from Greenville,5.0
649,65,kikisquid from Napa,5.0
650,66,502forestdrive4876 from Washington DC,5.0
651,66,cookninberkeley,5.0
652,66,moorloughmary from Edmonton,4.0
653,66,camster6 from Nanaimo,5.0
654,66,eeeshe706 from Florida,5.0
655,66,cookninberkeley,5.0
656,66,judekazmaier from Dallas,5.0
657,66,nancybs from Scranton,5.0
658,66,cathreno from New York,5.0
659,66,pegemo from Ca wine country,5.0
660,66,carriewhittier from Penngrove,5.0
661,66,JLott1 from From SC,5.0
662,66,bil from Augusta,5.0
663,66,lindamaier from New Rochelle,5.0
664,66,debbiekeithmiller from Leeds,5.0
665,66,cdmarko from Texas,3.0
666,66,ealmanza from Austin,5.0
667,66,zelda4epic from Florida,5.0
668,66,maxglider723 from Pittsburgh,5.0
669,66,maxglider723 from Pittsburgh,5.0
670,66,allisonlim from Singapore,5.0
671,67,suzwil from AZ,3.0
672,68,pierceconway from Natick,5.0
673,68,ssawyer3 from Northern California,5.0
674,68,choirgirl116 from Montreal,4.0
675,68,sattesb from Charleston,5.0
676,68,GWstables from Ocala,5.0
677,68,cellardweller from Chatham,4.0
678,68,edseeger from Harker Heights,5.0
679,68,a_pinch_of_salt from San Francisco,4.0
680,68,jcfrecipes from Pittsburgh,4.0
681,68,gargantujuan from Vancouver,4.0
682,68,salimad1 from New York,5.0
683,68,erkroner from Asheville,4.0
684,69,sdemaree from Californian living in London,5.0
685,69,creativemisso3053 from Louisiana,5.0
686,69,allimarx from New York,3.0
687,69,mldesm from andover,5.0
688,69,heatherjenkins from Edmonton,5.0
689,69,jebrwnng from Michigan,5.0
690,69,joe_sevier2086 from Brooklyn,5.0
691,69,kpalmer747 from Sweden,5.0
692,69,mldesm from andover ma,5.0
693,69,Psycleridr from Northern NJ,4.0
694,69,chrisgelica from California,5.0
695,69,robin_shanz from New York,5.0
696,69,happymama37 from Newton MA,5.0
697,69,fyryr from Fernley,5.0
698,69,tegger57 from Hanover,5.0
699,69,davisella from Canada,5.0
700,69,mickeyl,3.0
701,69,danipach from New York,3.0
702,69,dzma from Queens,4.0
703,69,kwildau from france,3.0
704,69,agentmorgan from santa cruz,5.0
705,70,rstarner3877 from Columbia,5.0
706,70,mirandacaroligne from Southern Oregon,5.0
707,70,aporatelli from Buenos Aires,5.0
708,70,tdowens3 from Seattle,5.0
709,70,jlelliott from Madison,5.0
710,70,morganmk,5.0
711,70,sandragee from Boston,5.0
712,70,ccstephanie from Boston,5.0
713,70,ccstephanie from Cape Cod,5.0
714,70,robinsmillie from Toronto,5.0
715,70,kbbradford from North Alabama,5.0
716,70,s21melly from Toronto,5.0
717,70,Maryloucookie from Long Beach,5.0
718,71,mllnmchine from NYC,5.0
719,71,AbigaelSarah,5.0
720,71,foureyes137 from Minneapolis,5.0
721,71,nkjenkins4316,4.0
722,71,rstarner3877 from Columbia,5.0
723,71,AbigaelSarah from USA,5.0
724,71,delooper from Durham,2.0
725,71,merseb from Chamonix,5.0
726,71,c3lestialwolf,5.0
727,71,iminthekitchen,5.0
728,71,kdc412 from Arizona,5.0
729,71,krf from Bellevue,5.0
730,71,kjcarbonell from Chicago,5.0
731,71,stwebshop1 from Arizona,5.0
732,71,trent880 from Denver,5.0
733,71,eezah,5.0
734,71,alproland9804 from Zumbrota,5.0
735,71,loyd7220 from Austin,4.0
